,client_id,gender,birth_date,create_date,nonresident_flag,city,contract_sum,product_category_name,card_id,card_type_name,start_date,fact_close_date,purchase_sum,purchase_count,current_balance_avg_sum,current_balance_sum,current_debit_turn_sum,current_credit_turn_sum,card_type
156803,e829f0781e42550cd8aa677467204c37,Ж,1978,2012-11-19,R,Октябрьский,75000,Кредитная карта,c0f891565584fb7366b8a7416cc026f0,,-1,-1,0,0,0,0,6800,6800,dc
124711,5c64316eb49635548f3af8c1c655747f,Ж,1997,2018-10-03,R,Уфа,0,Договор на текущий счет для дебетовой карты,7946408ffb8d6c9dca7419ba651efd80,Eurocard/MasterCard World,2021,-1,1000,2,0,0,1000,1000,cc
128783,5c64316eb49635548f3af8c1c655747f,Ж,1997,2018-10-03,R,Уфа,0,Договор на текущий счет для дебетовой карты,7946408ffb8d6c9dca7419ba651efd80,Eurocard/MasterCard World,2021,-1,0,0,0,0,1000,1000,cc
124784,613fae41b2cd81628d3325051e379d03,М,1966,2016-05-30,R,Воскресенск,0,Договор на текущий счет для дебетовой карты,822a2514bf02cdc4d9b35799261fbb81,,-1,-1,0,0,0,0,0,0,dc
134544,9b640c20c093285e74b6e6071f5b64cf,М,1957,2021-05-14,R,Гусь-Хрустальный,30000,Кредитная карта,7f3aa429a5e72da069385a6917c5f590,,-1,-1,5900,24,0,0,24600,24600,dc
134367,2f07b9c63c6daec259a24d175afe1231,Ж,1956,2008-04-11,R,Кемерово,0,Договор на текущий счет для дебетовой карты,5ecf3491bba10e3406ad853e09ca6ee7,Eurocard/MasterCard World,2020,2021,1500,1,0,0,3100,3100,cc
153971,4cf77d833c1eeaa9a8fc099de00a3545,М,1970,2021-05-04,R,Краснодар,0,Договор на текущий счет для дебетовой карты,c82b3fd1b073f4b45f92ff3620544fae,MasterCard World Elite,2021,2021,118000,64,66100,20500,409000,389000,dc
153972,4cf77d833c1eeaa9a8fc099de00a3545,М,1970,2021-05-04,R,Краснодар,0,Договор на текущий счет для дебетовой карты,56ce24451dcc5900395b7d838390f148,Priority Pass,2021,2021,118000,64,66100,20500,409000,389000,dc
153973,4cf77d833c1eeaa9a8fc099de00a3545,М,1970,2021-05-04,R,Краснодар,0,Договор на текущий счет для дебетовой карты,aaf5e883b5ade7868144fbede5055a29,VISA Infinite,2021,2021,118000,64,66100,20500,409000,389000,dc
125006,2d9d3a246c5be146b2e65cfe02db02cd,М,1975,2021-05-13,R,Брянск,0,Договор на текущий счет для дебетовой карты,30bbd3ed8e5ac30ed9d6eb05eaac0750,VISA Classic Light,2020,-1,0,0,0,0,240000,240000,dc
205739,7829c95f4c9f921ef6158fd51f744602,Ж,1969,2021-05-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,168b7e956473455b7aa06f6606276556,МИР СКБ ЗП,2021,-1,0,0,4500,1300,93900,94600,dc
125173,8cd2c436fbfcc2cd18fe89074c0ccd1c,М,1980,2021-05-11,R,Дзержинск,0,Договор на текущий счет для дебетовой карты,e1e9aa93fe6618a75d92061c4c80c96d,,-1,-1,0,0,0,0,0,0,dc
198389,0b6f08d5a277fe28d118f7469caa49fd,М,1961,2008-05-12,R,Кунгур,0,Договор на текущий счет для дебетовой карты,51515d484fc12b4a515fad665dac110e,Visa Platinum Rewards,2021,-1,4200,2,40900,46500,403600,395400,dc
125229,336250ea706cb12efef151969a8dd4cc,Ж,1981,2021-04-14,R,Толбазы,0,Договор на текущий счет для дебетовой карты,3dbe817be123defadba1907e9e1230b8,,-1,-1,0,0,0,0,0,0,dc
125277,49865a9298932b89a39a1378373da650,Ж,1996,2019-03-11,R,Челябинск,0,Договор на текущий счет для дебетовой карты,499268b3b0f6989bc9d9413c5af23fac,Visa Platinum Rewards,2021,2021,0,0,400,1100,4800,5900,dc
214325,b4e35ebccffa93713f840872d9de6321,Ж,1971,2008-01-14,R,Уфа,0,Договор на текущий счет для дебетовой карты,db030b4f990d4634782dd3391da657a6,МИР СКБ ЗП,2021,-1,1000,2,22900,21200,145100,157500,dc
125336,7c3977bd2733bc66ab7adec49e73652a,М,1983,2009-08-05,R,Кореновск,0,Договор на текущий счет для дебетовой карты,0b6bd2ff7f4cdfeeae72126734c864ce,,-1,-1,0,0,0,0,0,0,dc
266102,22c922446090c1f79aa1a2bce2e19bfd,Ж,2006,2021-05-06,R,Зилаир,0,Договор на текущий счет для дебетовой карты,654c0c095fc67343216a3c30c7d285a2,МИР СКБ,2021,-1,0,0,400,900,3100,4000,dc
254042,f71f155503aab1c87a52b739a9d04324,Ж,1994,2010-08-09,R,Краснодар,0,Договор на текущий счет для дебетовой карты,7fd8f71195697426e6cf365a00ece736,Eurocard/MasterCard Platinum,2021,-1,0,0,0,0,26000,26000,dc
125500,2dfa94785da6219894cf4662a4dd621a,М,1992,2019-03-27,R,Владимир,100000,Кредитная карта,c6a2e480370a1ef035d22493ec065777,,-1,-1,1100,2,0,0,1100,1100,dc
135648,2dfa94785da6219894cf4662a4dd621a,М,1992,2019-03-27,R,Владимир,100000,Кредитная карта,c6a2e480370a1ef035d22493ec065777,,-1,-1,0,0,0,0,1100,1100,dc
205535,d8652c10f6d4de81942a72b4923baa54,Ж,1991,2021-05-14,R,Белебей,0,Договор на текущий счет для дебетовой карты,8b18846578cea3a7780ec2ac539e69c5,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,500,1,2100,4000,27900,31900,dc
172414,5f244328f3f60e9914876c6cda3f1a48,М,1983,2013-07-17,R,Краснодар,0,Договор на текущий счет для дебетовой карты,f4c453f4c917dd5ea78ba8826640daa5,Visa Platinum Rewards,2020,-1,1500,2,9300,1000,116500,99300,dc
266038,f74d9a6891301d0d90657e389a0c745b,М,1961,2009-11-11,R,Баймак,1000,Договор на текущий счет для дебетовой карты,8f08a4740aa0c86693c0e0dda7793985,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,18800,29,4300,12500,18800,27900,dc
134614,db664b35e0209d4d2415eda303ffbce2,М,1977,2021-05-11,R,Пермь,0,Договор на текущий счет для дебетовой карты,ae4c2463500e39bd600358a0f2af1ff1,МИР Debit,2021,-1,0,0,5200,56400,258600,315000,dc
141807,5fe6c39d389e2059f2e9473a03ec59da,М,1997,2021-05-26,R,Миасс,0,Договор на текущий счет для дебетовой карты,05f807a00987abf088d55cd53b70fc97,Eurocard/MasterCard Gold,2021,-1,12000,39,2300,0,27600,27600,dc
125965,3b5d8d7214b3ac8f9cd146d71ad53440,М,1946,2017-09-07,R,Москва,0,Договор на текущий счет для дебетовой карты,ba6f393f38006a7af3cd71b6f610eca9,VISA Infinite,2021,-1,0,0,0,0,0,0,dc
137848,b99d1041c52bca955ea03ea846d65965,Ж,1986,2021-05-11,R,Раевский,0,Договор на текущий счет для дебетовой карты,5b2b79d1b693cbc2a88325bde7b7533c,"Дебет карта ПС МИР ""Бюджетная""",2022,-1,8500,29,6300,3500,28500,26500,dc
137849,b99d1041c52bca955ea03ea846d65965,Ж,1986,2021-05-11,R,Раевский,0,Договор на текущий счет для дебетовой карты,fe7e94ec944e2c08c52cdaeb4c972138,"Дебет карта ПС МИР ""Бюджетная""",2021,2022,8500,29,6300,3500,28500,26500,dc
