,client_id,gender,birth_date,create_date,nonresident_flag,city,contract_sum,product_category_name,card_id,card_type_name,start_date,fact_close_date,purchase_sum,purchase_count,current_balance_avg_sum,current_balance_sum,current_debit_turn_sum,current_credit_turn_sum,card_type
47070,dfbe42a0322d226b00a8a90863d4ffc5,М,1981,2020-10-06,R,Тюмень,0,Договор на текущий счет для дебетовой карты,c8bfcb5a3ace0a6131797d6b9cd69850,Visa Platinum Rewards,2020,2020,0,0,0,0,0,0,dc
253994,2baab7930ccd9e19a3535983e7966f36,М,2005,2020-10-08,R,Клинцы,0,Договор на текущий счет для дебетовой карты,a9613309d86b5b7d4fbe7b3513ad27e0,"Дебет карта ПС МИР ""Бюджетная""",2020,-1,9800,31,5300,2000,41100,42500,dc
148336,cd141a54b5f035225348da431a390d36,Ж,1980,2009-12-02,R,Смоленск,0,Договор на текущий счет для дебетовой карты,b4d36ddf59b8b6af0a0289884d82609c,VISA Classic Light,2020,-1,0,0,1200,100,13600,13600,dc
47139,0b807102557fecf78fcda33a58dd2582,Ж,1993,2018-06-01,R,Давлеканово,50000,Кредитная карта,838be92b4d2e305732703292e3c2bd1c,-1,-1,-1,0,0,0,0,0,0,dc
65900,bdc9aa6784cc3bebe94022858147792e,М,1967,2020-10-06,R,Санкт-Петербург,0,Договор на текущий счет для дебетовой карты,435a3eb671c93d2e5a2c162bd66728b2,VISA Classic,2020,2021,0,0,0,0,500,500,dc
47161,fed7e3943b2c5409e63a8aea9f48e011,Ж,1958,2011-02-24,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,a99a6118e2ba01a7edc9cb2112d6b347,MasterCard Electronic,2020,-1,0,0,0,0,100,100,dc
47218,af1ba8d25552ec775e68258fc242081b,Ж,1970,2003-07-07,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,8baba029ac91630b3b857c6ba307c88f,Eurocard/MasterCard World,2020,2021,100,1,0,0,200,200,cc
47319,25b76b52ed61424e38a02a83907303b3,Ж,1981,2019-06-11,R,Кунгур,0,Кредитная карта,9578665fb47eaab0903f5315154b6eca,-1,-1,-1,0,0,0,0,0,0,dc
47410,4e221d7eca5c1ab92b73b5f7a7055283,Ж,1989,2020-09-24,R,Междуреченск,0,Договор на текущий счет для дебетовой карты,cdf9aaf0ff54d2561215d6b6098a2703,Visa Platinum Rewards,2020,2021,0,2,0,0,0,0,dc
47470,98f88b2ff9628217e2ba38fdeddaf74d,М,1976,2012-04-18,R,Янаул,0,Договор на текущий счет для дебетовой карты,bbf30ef9be7a2414517d6ec8aeffee27,Eurocard/MasterCard World,2020,2020,0,1,0,0,0,0,cc
55420,c5d8a28193a8d1a80e3d07a807e047ba,Ж,1988,2018-03-14,R,Чусовой,0,Договор на текущий счет для дебетовой карты,2f672bcded3ad209dcbf6c134154bb68,Eurocard/MasterCard World,2020,2020,400,1,0,0,700,700,cc
47880,5831fa808cc88821ef5fae3020e462d8,Ж,2004,2020-09-15,R,Геленджик,0,Договор на текущий счет для дебетовой карты,bf56a38e438d580f325da2725203dfb3,-1,-1,-1,0,0,0,0,0,0,dc
62050,1a46f01c7f374943efb7c57935ef9e40,Ж,1984,2018-11-21,R,Янаул,0,Договор на текущий счет для дебетовой карты,f27b78f36e1874802e6ff3323d41796f,Eurocard/MasterCard Platinum,2020,2022,500,4,900,9000,11600,20400,dc
64735,d6be48b2d4b9e804aa7a4be224a65bd7,Ж,1996,2019-10-01,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,2bdf95a1b730fd9f1e97cf22c698761e,"Дебет карта ПС МИР ""Бюджетная""",2020,-1,3200,10,1400,0,30900,29600,dc
49865,f0b1b2cc21ab909b3d1ed14f5376d8b7,Ж,1981,2019-04-24,R,Армавир,0,Договор на текущий счет для дебетовой карты,3e35b507c2ad6fdfe2f6d9d2a779b10f,Visa Platinum Rewards,2020,2022,30000,48,8600,5900,30000,29600,dc
48401,8d09d9f71abb0cb72b839ed7ead9aacc,Ж,1968,2020-09-14,R,Ижевск,0,Договор на текущий счет для дебетовой карты,4b24cfdf7f2b769aaa4bda1b80851efa,-1,-1,-1,0,0,0,0,0,0,dc
48452,6dbcf4d9d97af0cf3751d03eb17dc15f,Ж,1992,2014-09-23,R,Сочи,300,Договор на текущий счет для дебетовой карты,06da8ce50927926ab61aea2020259a5c,МИР Debit,2020,2021,0,0,0,0,0,0,dc
48466,84b24c82228845fbb801491d047090a0,Ж,1986,2017-03-29,R,Одинцово,25000,Кредитная карта,08edf5c413348e19b9bd6a63916b8264,-1,-1,-1,0,0,0,0,0,0,dc
48539,c74b9ff2959d61a769e0febe4e27a556,Ж,1954,2020-10-05,R,Красноярск,0,Договор на текущий счет для дебетовой карты,839a8b288ca67f4992869a109a259479,Eurocard/MasterCard Gold,2020,2020,100,1,11600,0,119600,119600,dc
50073,870f88f262a28f2d825c6b464f68a1cf,Ж,1991,2014-02-23,R,Санкт-Петербург,0,Договор на текущий счет для дебетовой карты,da506fe62ada997282c7583048896957,Visa Platinum Rewards,2020,2022,5100,10,3200,0,50100,50000,dc
48721,dbb2cb5a7bc419409d73c3fa352dd403,М,1971,2015-12-04,R,Уфа,0,Договор на текущий счет для дебетовой карты,d5c2b734b9625ee55caa4fcd60e0d8db,Visa Platinum Rewards,2020,2021,0,0,0,100,0,100,dc
61712,9527cfa4376a9750f1c9ddd9af4f5062,Ж,1978,2020-02-19,R,Москва,0,Договор на текущий счет для дебетовой карты,2867be203fa850de49af0145c8e59296,"Дебет карта ПС МИР ""Бюджетная""",2020,-1,12200,14,21800,3500,217500,210700,dc
63114,4fcea67cd715f329cfc272b1d4312198,Ж,1965,2010-10-18,R,Салават,0,Договор на текущий счет для дебетовой карты,876cb71323b45320fd1006e31605fe7d,Visa Platinum Rewards,2020,-1,15300,33,6000,4500,28500,29700,dc
48899,77a14de8273fcbcfbfaa36b932fe7a3c,М,1954,2020-11-12,R,Нижний Новгород,0,Договор на текущий счет для дебетовой карты,4dcd3cf5b5da5d51fffc36fd3715b9fe,Visa Platinum Rewards,2020,2021,0,1,0,0,0,100,dc
48936,e083b3053a3501cc943e272027a7e1b6,Ж,1988,2016-10-13,R,Тула,0,Договор на текущий счет для дебетовой карты,dce3de693eae11aea1cbbe2ca1602a14,Visa Platinum Rewards,2020,2021,0,0,0,0,0,0,dc
77431,87701d066111e6175d9bd179b1358512,Ж,1960,2013-09-23,R,Нефтекамск,24000,Кредитная карта,1052dac311873da272a49e3d8fd01cb2,-1,-1,-1,1100,8,0,0,3100,3100,dc
48999,fd145eb06b8452c0b8224dbb58dbed79,Ж,1984,2015-03-12,R,Пермь,15000,Кредитная карта,f3ba08570a4eca1eb4440145b7ec0c43,-1,-1,-1,0,0,0,0,0,0,dc
49024,21bd6bc0eaa7d852ebe8128f47887f3b,М,1967,2015-12-07,R,Стерлитамак,300,Договор на текущий счет для дебетовой карты,75610bf23c1d24d4968c389d8db70f9a,МИР Debit,2020,2022,1500,4,1100,0,3700,3700,dc
49075,0a4112dff7260afc752c2e47a4870a9e,М,1987,2020-11-09,R,Уфа,0,Договор на текущий счет для дебетовой карты,bddb427b89de967794c52b655c5c2f2d,Visa Platinum Rewards,2020,2021,0,0,0,0,0,0,dc
101812,b5b3c735690b409b01cccaa3d24a5b33,Ж,1984,2012-07-23,R,Уфа,0,Договор на текущий счет для дебетовой карты,182767817d1c3d1d52facbbe43969fce,Eurocard/MasterCard World,2020,2021,0,0,0,0,1200,1200,cc
49283,1aa5d7f470ea13769b8a37ad5dab9e9a,Ж,1961,2020-10-07,R,Санкт-Петербург,0,Договор на текущий счет для дебетовой карты,d89c34538c135cada9b1944c9daa543a,-1,-1,-1,0,0,0,0,0,0,dc
