,Unnamed: 0,client_id,gender,birth_date,create_date,nonresident_flag,city,contract_sum,product_category_name,card_id,card_type_name,start_date,fact_close_date,purchase_sum,purchase_count,current_balance_avg_sum,current_balance_sum,current_debit_turn_sum,current_credit_turn_sum,card_type
0,2,d871ef96820b6c7a1ada8e01a772724e,Ж,1982,2006-12-25,R,Юрга,0,Договор на текущий счет для дебетовой карты,429ca8c43cdc5f3d8c9efc9069ee3fa6,-1,-1,-1,0,0,0,0,0,0,dc
1,5,c79f7d18334216f7bd6c40a05e4a0335,Ж,1980,2015-06-19,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,e3baaf11e34b13c3cbb93fd6e2f6096e,МИР Debit,2019,-1,0,0,12700,1000,15000,7800,dc
2,8,192b644dd9fc46129e60c2f2f73b851c,Ж,1961,2010-06-04,R,Калтан,0,Договор на текущий счет для дебетовой карты,64c45e9c29fa78a6245ecd2a045c015e,МИР Debit,2018,2019,0,0,0,0,0,0,dc
3,16,47a1ae7b4e5ce46e69497b59dc87f45e,Ж,1969,2018-02-05,R,Прокопьевск,0,Договор на текущий счет для дебетовой карты,1e61472d87e87e4c7a64d9c14351a5c7,-1,-1,-1,0,0,0,0,0,0,dc
4,235936,c0558c09e6d8967a4f7da4e631af0931,Ж,1992,2018-02-09,R,Уфа,0,Договор на текущий счет для дебетовой карты,29aef8d895f0ba76f3493b58996acd89,МИР Debit,2021,-1,1100,1,400,0,2900,2900,dc
5,235937,c0558c09e6d8967a4f7da4e631af0931,Ж,1992,2018-02-09,R,Уфа,0,Договор на текущий счет для дебетовой карты,23120b2ce629efc4409ec06253245e55,МИР СКБ ЗП,2018,2021,1100,1,400,0,2900,2900,dc
6,22,a1cdd10388f052c85b597431a39ef17e,Ж,1998,2019-06-21,R,Тюмень,0,Договор на текущий счет для дебетовой карты,c8059e79bd19a5b13c4fa114bf679137,МИР Debit,2020,2021,0,0,0,0,0,0,dc
7,24,1d056e357297499510413c369ac188d4,М,1972,2005-07-28,R,Кропоткин,150000,Кредитная карта,9ee6bffe39cff3d03c79b7b9c65eacac,-1,-1,-1,0,0,0,0,0,0,dc
8,263275,31937105670a04a2d5260d4ee088468c,Ж,1990,2017-08-14,R,Санкт-Петербург,300,Договор на текущий счет для дебетовой карты,063a6eb9595adb5c0273b00d14be2862,VISA Classic Light,2017,2021,0,0,0,0,121900,121900,dc
9,263276,31937105670a04a2d5260d4ee088468c,Ж,1990,2017-08-14,R,Санкт-Петербург,300,Договор на текущий счет для дебетовой карты,fa25dd4de63b7c4c4ab2ab85c1a59108,Eurocard/MasterCard Gold,2020,-1,0,0,0,0,121900,121900,dc
10,34,f87808e3cb497d680148bc126e8e95d1,Ж,1999,2016-09-07,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,29c8e1d508952b445a8cc19fb7392a11,МИР СКБ,2018,2021,0,0,0,0,0,0,dc
11,45,2ef935bec18baa658514c08a08d6e724,М,1979,2015-12-15,R,Уфа,0,Договор на текущий счет для дебетовой карты,9eb82d04b35bfc6c6d4e386ffa996d90,VISA Classic Light,2018,2020,0,0,0,0,0,0,dc
12,46,dced080300185214cd1dea2ca7a45415,Ж,1991,2018-11-19,R,Санкт-Петербург,150000,Кредитная карта,377d3eb4675ed6befc96cc3ed875221c,-1,-1,-1,12700,7,700,0,16600,16600,dc
13,45151,387594a42c333135edfc141a22576967,М,1969,2019-10-28,R,Ярославль,0,Договор на текущий счет для дебетовой карты,ebb2735de1613ad9e76ba70c4eb8198f,Eurocard/MasterCard World,2019,-1,67700,30,59500,1200,406200,407200,dc
14,49,366b60b00dcecd39233778d64381b722,Ж,1958,2013-03-14,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,2a1532c6f5f9638770f13b746be99826,Eurocard/MasterCard Gold,2018,2019,0,0,0,0,0,0,dc
15,17098,efa3cddb4222c682ad70581ab15f3d0f,Ж,1985,2013-11-13,R,Челябинск,0,Договор на текущий счет для дебетовой карты,f0d58c288a82bd35504380f74fe71a84,VISA Classic Light,2020,-1,1800,27,400,0,2800,2800,dc
16,55,82bcc82c9a8cb78654cdef9ca3b5f799,Ж,1990,2019-06-10,R,Брянск,0,Договор на текущий счет для дебетовой карты,8cfa7b5a30b1ecd991da2aaa86f6cb11,-1,-1,-1,0,0,0,0,0,0,dc
17,141685,edcf4ff6717e644db9fab0e18820a66f,Ж,1967,2008-05-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,e4bde30fe202904f0dd238e7be936b89,-1,-1,-1,0,0,100,0,100,0,dc
18,70,7ed0f5e8ab89ca9232821eb9c8dffe59,Ж,1988,2018-09-05,R,Ростов-на-Дону,0,Договор на текущий счет для дебетовой карты,8678bc4975109327b71fe802efb27376,-1,-1,-1,0,0,0,0,0,0,dc
19,71,6e72f64e0d3f6219594a910c1fac3f9b,М,1972,2006-04-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,a3d9003265f74297d1574d0df47f30c8,-1,-1,-1,0,0,0,0,0,0,dc
20,38829,04eaf44dabc9f48e7337f70636327098,М,1964,2020-06-17,R,Москва,100,Договор на текущий счет для дебетовой карты,758fba9fe004257ee330246c64fa1978,VISA Classic,2020,-1,17300,27,21100,13500,17800,31300,dc
21,75,74ec986d945229e7240d40680ead31ba,М,1960,2020-06-10,R,Салават,0,Договор на текущий счет для дебетовой карты,f9e79a32f5724b2ecbd644bb9e0ac139,Visa Platinum Rewards,2020,2021,0,0,0,0,0,0,dc
22,60774,6744d32fb7492ad5a51847d11afb6eaa,Ж,1992,2017-10-31,R,Уфа,0,Договор на текущий счет для дебетовой карты,b84e1f2e380adbfc203eff8777d36031,МИР Debit,2017,2021,0,0,0,0,100,100,dc
23,42783,b05a5f11f648828c9ea1f78ca45ac714,М,1990,2017-03-14,R,Сибай,0,Договор на текущий счет для дебетовой карты,a24ba3b9d73f699351982415b4729b4b,VISA Classic,2017,2020,0,0,4800,14200,105200,119400,dc
24,42784,b05a5f11f648828c9ea1f78ca45ac714,М,1990,2017-03-14,R,Сибай,0,Договор на текущий счет для дебетовой карты,c0f1bd22620a59f46717e2eccffb6372,VISA Classic,2020,-1,0,0,4800,14200,105200,119400,dc
25,81,6d1f099b77ee678d2dc5c3dca74ef794,Ж,1978,2015-03-10,R,Уфа,0,Договор на текущий счет для дебетовой карты,1e0806bebdd4a0e69994a626a9b24f18,-1,-1,-1,0,0,0,0,0,0,dc
26,82,e9a1ae3f5b82ca41e36b7fa74fd470bd,М,1979,2020-03-19,N,Набережные Челны,0,Договор на текущий счет для дебетовой карты,0ccbea90b8a180d8066cefdcd43a1c2b,-1,-1,-1,0,0,0,0,0,0,dc
27,83,096d21777d525c6cfa40dcccfbbbf592,Ж,1981,2007-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,3eb358c4740dba0161b20af7c286fd3d,VISA Classic,2019,-1,14000,27,3500,0,26100,18900,dc
28,209809,aeda8727b356bbf475e3c6d0d85a14cc,Ж,2002,2018-09-12,R,Краснодар,0,Договор на текущий счет для дебетовой карты,0ed953ba365ea29ff1773995d9c5fbd7,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,8500,4,2600,100,10400,8900,dc
29,209810,aeda8727b356bbf475e3c6d0d85a14cc,Ж,2002,2018-09-12,R,Краснодар,0,Договор на текущий счет для дебетовой карты,9a63ef73e613d632a078f829fbf46087,"Дебет карта ПС МИР ""Бюджетная""",2018,-1,8500,4,2600,100,10400,8900,dc
30,125032,dbb9e8ae0767fa6f34bc59f10c408c6f,Ж,1986,2012-09-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,e89a03c75ac88f3e0c3a1c5e70d67f59,МИР СКБ ЗП,2017,2021,0,0,100,300,5600,5800,dc
31,256934,f6ae6e7e6160922cecd6911247d873e6,Ж,1964,2015-01-26,R,Уфа,0,Договор на текущий счет для дебетовой карты,4ddf7b99d14840367a938a89f27a933e,MasterCard Electronic,2015,2021,0,0,200,0,1500,1500,dc
32,169344,cc93a5573ab437b6e18294d8b13d0417,М,1960,2015-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,f553e5099403403a8143a8e426703fd7,МИР Debit,2020,-1,0,0,3500,100,23300,23300,dc
33,169345,cc93a5573ab437b6e18294d8b13d0417,М,1960,2015-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,abf9e5585d8d6af5b510240ad40ccb56,МИР Debit,2017,2020,0,0,3500,100,23300,23300,dc
34,90,135c516d3c098142543c5eb08e39dca2,Ж,2001,2018-07-18,R,Давлеканово,0,Договор на текущий счет для дебетовой карты,d30a76abb043bcec7bfc7d47d61ff8e7,-1,-1,-1,0,0,0,0,0,0,dc
35,96,b4b15e23f9cffc8d137c2925a4786e21,Ж,1986,2015-11-20,R,Мелеуз,0,Договор на текущий счет для дебетовой карты,3419827d00486099b4720145dacd4ba9,МИР СКБ,2021,2022,0,0,0,0,0,0,dc
36,255335,4954fcd8fe9d53bee3d976c073390bd1,М,1995,2019-09-26,R,Краснодар,0,Договор на текущий счет для дебетовой карты,24074bc72863aebc4c616fbb58b8b837,-1,-1,-1,0,0,200,0,107400,107000,dc
37,259234,25d5c798dea45b11ad7770e70d2ed6f5,М,1962,2016-01-28,R,Москва,300,Договор на текущий счет для дебетовой карты,242b4006a9bd8f4276f6ff0558ee9cda,VISA Classic Light,2017,2019,0,0,0,0,2930600,2930600,dc
38,105,2a6f087977393337b2979f34f3e1fcbc,Ж,1978,2019-02-06,N,Смоленск,0,Договор на текущий счет для дебетовой карты,96cdfb269535ae9e10b9e5a0010f67e3,-1,-1,-1,0,0,0,0,0,0,dc
39,3367,394be9881e72690087d76152a2d43abf,М,1981,2007-01-10,R,Уфа,0,Договор на текущий счет для дебетовой карты,96cdfb269535ae9e10b9e5a0010f67e3,-1,-1,-1,0,0,0,0,0,0,dc
40,107,601276d07446ab4232338424e6509f3b,М,1986,2009-05-25,R,Уфа,0,Договор на текущий счет для дебетовой карты,ccc531878d88e528baa0634ce25b5419,-1,-1,-1,0,0,0,0,0,0,dc
41,108,00a1e035ebcd965cc7a357a16af6abf6,Ж,1997,2017-10-20,R,Янаул,0,Договор на текущий счет для дебетовой карты,c6523ec32dd9e7016baa52b0f88bdd68,МИР СКБ,2018,2019,0,0,0,0,0,0,dc
42,116,6d3104ebae1a6f855417e0e7b56d9469,М,1990,2019-06-11,R,Набережные Челны,0,Договор на текущий счет для дебетовой карты,745702fd478050d4f703df0581298356,VISA Classic,2019,2019,0,0,0,0,0,0,dc
43,119,94cf7f4123de2f8f1d30d39e896535ce,М,1991,2011-11-25,R,Краснодар,0,Договор на текущий счет для дебетовой карты,4987e379e9e34efde1e224b19eab5c4d,-1,-1,-1,0,0,0,0,0,0,dc
44,121,2acb797c53e75b073f7a6052e240ab40,Ж,1952,2009-10-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,dc7216efc514fc10a1a19e51f77eb9f0,Eurocard/MasterCard World,2019,-1,0,0,0,0,0,0,dc
45,16862,103a487d128c7100dfb44775e31f5344,М,1982,2015-01-28,R,Краснодар,0,Договор на текущий счет для дебетовой карты,264c0219ec09da403ce2d985fcb11b2e,Eurocard/MasterCard Mass,2019,-1,16800,34,7500,2200,34800,24400,dc
46,123,04a1adfdff8be4a7d9ddb1d94c3787a6,Ж,1966,2011-04-16,R,Уфа,0,Договор на текущий счет для дебетовой карты,00445d4978fa11d55a5bc37e5b163ad3,Visa Platinum Rewards,2019,2020,0,0,0,0,0,0,dc
47,124,0cc6c5227d154ffe93c95a0b4cab92dd,Ж,1971,2019-05-23,R,Краснодар,34800,Договор на текущий счет для дебетовой карты,bd2da31603a71844f24135989c65fe57,Eurocard/MasterCard Gold,2019,2020,0,1,9400,0,34800,0,dc
48,69517,734bdd2b2dfa50d6c55c8c90d95f04f3,Ж,1968,2012-11-12,R,Уфа,100,Договор на текущий счет для дебетовой карты,796da8bbbd724138f7592b91d301e0f2,VISA Classic,2018,2018,100,1,100,0,100,0,dc
49,69518,734bdd2b2dfa50d6c55c8c90d95f04f3,Ж,1968,2012-11-12,R,Уфа,100,Договор на текущий счет для дебетовой карты,52763188c32ed80ee9a9635dc7546ee9,VISA Gold,2018,-1,100,1,100,0,100,0,dc
50,129,0199f9141e02c25f50c556b1bdd859d7,М,1967,2019-12-09,R,Боровичи,0,Договор на текущий счет для дебетовой карты,9b466b4fcd3021d7c9a3d8ad751375af,Eurocard/MasterCard Mass,2020,-1,0,0,100,0,100,0,dc
51,132,07e00cb09abf9f164fa90156ce82763c,М,1987,2016-05-16,R,Учалы,0,Договор на текущий счет для дебетовой карты,6b38970d61f803c492df2ff7566fbff8,-1,-1,-1,0,0,0,0,0,0,dc
52,133,fe43be78948675f88806d4aa3d028ef1,Ж,1949,2004-04-14,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,0a5a56ff5569f716adb93eb76db90a37,VISA Classic Light,2016,2020,0,0,0,0,0,0,dc
53,134,fe43be78948675f88806d4aa3d028ef1,Ж,1949,2004-04-14,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,c60c9d4f7f4aeb5bee7c3da2dce175df,VISA Classic Light,2019,2020,0,0,0,0,0,0,dc
54,137,fc407cf81d36e5c23201f94d95552f08,Ж,1960,2016-05-05,R,Кропоткин,0,Договор на текущий счет для дебетовой карты,4a4ddf4fb06e37e04141759c8896b334,MasterCard Electronic,2016,2017,0,0,0,0,0,0,dc
55,138,271a2eb8fcbd9f2d383587f214fd257a,Ж,1975,2012-04-25,R,Уфа,0,Договор на текущий счет для дебетовой карты,e55aff16479e43960ea90a3ac1335f25,МИР Debit,2017,2020,0,0,0,0,0,0,dc
56,133731,bcf0fb445e801b2ee2ba99d4e4882b25,Ж,1986,2011-11-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,581fa80741d570d8206cba4b078ee56f,МИР Debit,2017,2018,0,0,300,0,13500,13500,dc
57,140,8324158f9b9fdde60be5cf89fcdfc7f2,М,1972,2014-07-11,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,edf37dacec60e175e73ebb8a4394b684,"Дебет карта ПС МИР ""Бюджетная""",2018,2021,0,0,0,0,0,0,dc
58,141,7206557b60c61918ffe9d5e0e4c5586e,Ж,1972,2009-04-09,R,Белгород,0,Договор на текущий счет для дебетовой карты,4c5e3df62b7a8dfcfb4a8307892ab39b,Priority Pass,2019,-1,0,0,0,0,0,0,dc
59,142,7206557b60c61918ffe9d5e0e4c5586e,Ж,1972,2009-04-09,R,Белгород,0,Договор на текущий счет для дебетовой карты,0a696c76a51806bebd74a9f7dd3393b1,VISA Infinite,2019,-1,0,0,0,0,0,0,dc
60,52014,3b1b491f778817059c915092b25ab76a,М,1968,2019-04-15,R,Магнитогорск,0,Договор на текущий счет для дебетовой карты,2cb57cf90e642802fbb0afcdeabdfb8d,МИР СКБ ЗП,2019,-1,24200,57,22800,8700,123200,127100,dc
61,52015,3b1b491f778817059c915092b25ab76a,М,1968,2019-04-15,R,Магнитогорск,0,Договор на текущий счет для дебетовой карты,ab231ef7242d3f9160be2f2ffb6e93db,МИР СКБ ЗП,2020,-1,24200,57,22800,8700,123200,127100,dc
62,145,9712332c81c9cbc34a270113f9deff2c,Ж,1955,2016-10-20,R,Уфа,0,Договор на текущий счет для дебетовой карты,7084bdf1ea908ed13357beb333b96b02,-1,-1,-1,0,0,0,0,0,0,dc
63,153482,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,9fa5f38343bb9a3cb5affee46502cd8d,Eurocard/MasterCard Platinum,2020,-1,0,0,300,700,121000,121700,dc
64,153483,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,5adc90ada0b29b56fe4d3993a0816f33,VISA Classic,2017,2020,0,0,300,700,121000,121700,dc
65,153484,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,8328c48a9101e36a73fa8d7c62448d1b,VISA Classic Light,2016,2017,0,0,300,700,121000,121700,dc
66,153,7b6af2a1c142d521cd772870b5886a77,Ж,1988,2018-03-14,R,Чусовой,0,Договор на текущий счет для дебетовой карты,bf1c421830c02eb3edfdf579b2ac9c76,VISA Classic Light,2016,2020,0,0,600,100,355100,355200,dc
67,156,e395e0ce68a4d3d4b960ad3ce3a7d701,М,2000,2018-09-11,R,Сибай,0,Договор на текущий счет для дебетовой карты,53e3818f31bdd49b2c6ed9bafc4c3f0d,"Дебет карта ПС МИР ""Бюджетная""",2018,2021,0,0,0,0,0,0,dc
68,159,e4eebb7d104b4c3eaa506bea966bbdb4,М,1987,2013-09-26,R,Уфа,22700,Договор на текущий счет для дебетовой карты,30f201f4d540976d2f2483a0a3a9696a,VISA Classic Light,2019,2020,0,0,0,0,0,0,dc
69,161,ba9ff0cb30b6eef51e66f04e9eccd7dc,Ж,1974,2015-06-17,R,Уфа,0,Договор на текущий счет для дебетовой карты,7dbbaf3cac6b12def0874df39de39a11,МИР СКБ ЗП,2019,-1,0,0,0,0,0,0,dc
