,Название площадки,Ссылка на сообщество,Количество участников,Охват рекламы,Охват по подписчикам,Стоимость,Длительность размещения
0,Правильные Мысли,https://vk.com/club34229261,2619047,0,223778,2376,1/24
1,Сделано человеком,https://vk.com/club105736223,2562176,0,717470,7199,1/24
2,Бизнес Инфо,https://vk.com/club34168005,2292023,0,147121,1511,1/24
3,Business.Strategy | С успехом по жизни,https://vk.com/club30559917,2047762,0,183202,2880,1/24
4,Записки Андрея Шаккара,https://vk.com/club35114569,2046905,0,48373,1440,1/24
5,Бизнес цитатник,https://vk.com/club28556858,1978359,0,204706,2160,1/32
6,Good Life Inc,https://vk.com/club80345103,1852887,0,96793,2880,1/24
7,Мотивация. Дальше - Больше!,https://vk.com/club30179770,1405141,0,31938,1008,1/48
8,🔔 Эта страница официально подтверждена,https://vk.com/club107071607,1285469,25494,29862,497,1/24
9,МЫСЛИ НА МИЛЛИОН,https://vk.com/club42502560,1171362,0,145999,3672,1/24
10,Wow Реклама:),https://vk.com/club12818778,1132630,0,205530,1008,1/24
11,Манипуляция,https://vk.com/club133192254,1092197,0,344621,2159,1/24
12,"Бизнес, успех, мотивация. Умный журнал.",https://vk.com/club35807216,868737,0,23293,1511,1/24
13,Советы и мотивация,https://vk.com/club32309508,732978,0,33888,965,1/24
14,Идеи малого бизнеса,https://vk.com/club51675727,712874,5742,50937,576,1/24
15,Цели,https://vk.com/club33628480,666315,0,97682,864,1/24
16,Формула успеха • Бизнес|Саморазвитие|Жизнь,https://vk.com/club41753137,662914,0,22526,576,1/24
17,Думай и Богатей - бизнес журнал,https://vk.com/club47462810,642485,0,29591,303,1/24
18,"АБ | Криптовалюта, блокчейн, Биткоин Bitcoin BTC",https://vk.com/club46371384,542842,0,45789,576,1/24
19,Я МИЛЛИАРДЕР,https://vk.com/club38771560,532094,0,13547,576,1/24
20,Стартап. Начать с нуля и изменить мир!,https://vk.com/club34598021,513907,0,38787,2448,2/48
21,Идеи малого бизнеса | Дневник предпринимателя,https://vk.com/club32298967,500045,0,20548,288,1/24
22,Daily Wisdom,https://vk.com/club35712861,486457,0,62642,504,1/24
23,Будь со мной,https://vk.com/club51398827,471615,0,3594,216,1/24
24,Successful person (Успешный человек). Успех,https://vk.com/club46644924,436778,785,23834,144,1/24
25,"Продакты нужны - бизнес, деньги, крипта",https://vk.com/club72514022,433094,0,36,620,1/24
26,"Стартап | Идеи для бизнеса, маркетинг",https://vk.com/club47706515,431785,1442,12332,1368,1/24
27,Великие о великом | Саморазвитие и бизнес,https://vk.com/club39930420,380359,0,228,431,1/72
28,MEN'S GROUP,https://vk.com/club39765355,364771,0,36035,418,1/24
29,Actual | Бизнес-идеи,https://vk.com/club85075676,355035,0,24687,576,1/24
30,Думай!,https://vk.com/club38843669,341789,0,45962,288,1/24
31,Бизнес идеи,https://vk.com/club70123305,334463,0,39014,576,1/24
32,Бизнес и Успех,https://vk.com/club49806185,332599,0,11699,1440,1/24
33,Рубль | Бизнес-идеи,https://vk.com/club97376162,331467,0,18470,576,1/24
34,Малый бизнес,https://vk.com/club94003050,330537,2617,28152,432,1/24
35,Бизнес Woman,https://vk.com/club6638644,327654,0,352,144,1/24
36,Бизнес Мотиваторы,https://vk.com/club51933015,313672,0,9257,432,1/72
37,Пиар Раскрутка Продвижение YouTube | Ютуб,https://vk.com/club30737619,300556,0,458,432,1/24
38,Клуб Коммерсантов,https://vk.com/club33704958,292898,0,25673,648,1/24
39,Я предприниматель в Москве  - business community,https://vk.com/club68800696,289801,0,19441,792,1/24
